TIME (s  +-0.05s),T_I (C   +-1 C),T_H (C   +-1 C),T_C (C   +-1 C),HOT/COLD/OUT
0,97,97,1,O
10.13,97,97,1,C
19.97,96,97,2,C
29.96,96,97,2,C
34.94,95,97,3,C
39.91,94,97,3,C
45.16,92,97,3,C
49.94,91,97,2,C
54.95,89,96,2,C
59.78,87,96,2,C
64.97,84,96,2,C
70.07,80,97,2,H
75.02,78,97,2,H
79.93,76,97,2,H
85.01,74,97,2,H
90.05,73,97,2,H
95.02,72,97,2,H
100.06,71,97,2,H
110.11,71,97,2,H
120.05,72,97,2,H
130.03,73,97,2,C
139.96,74,97,2,C
149.95,74,97,2,C
159.94,73,97,2,C
170.24,70,97,2,C
179.83,68,97,2,C
190.04,64,97,2,H
199.94,62,96,2,H
209.96,60,97,2,H
220.04,59,97,2,H
230.04,60,97,2,H
240.01,63,97,2,H
250.42,64,97,2,C
260.18,66,97,2,C
270.73,67,97,3,C
280.13,66,97,3,C
290.01,64,97,2,C
300.12,61,97,2,C
310.11,59,97,2,H
320.02,56,97,2,H
330.2,55,97,2,H
340.01,55,97,2,H
349.97,56,97,2,H
360.03,58,97,2,H
370.36,60,97,2,C
380.04,62,97,2,C
390.05,64,97,2,C
399.66,64,97,2,C
410.01,62,97,2,C
420.11,59,97,2,C
430.17,57,97,2,H
440.07,54,97,2,H
450.05,53,97,2,H
460.16,53,97,2,H
469.94,55,97,2,H
479.68,57,97,2,H
490.74,59,97,2,C
500.13,62,97,2,C
510.71,63,97,2,C
520.13,63,97,2,C
530.12,62,97,2,C
539.95,59,97,2,C
550.06,56,96,2,H
560.06,53,97,2,H
569.98,52,97,2,H
580.32,52,97,2,H
590.25,54,97,2,H
600.78,57,97,2,H
610.31,59,97,2,C
620.33,61,97,2,C
630.04,63,97,2,C
640.23,62,97,2,C
649.98,60,97,2,C
659.96,58,97,2,C
670.2,55,,,O
680.25,51,,,O
690.05,49,,,O
700.61,46,,,O
710.05,44,,,O
720.02,42,,,O
